Probdriverdeath,carleft_impdeath,carfront_impdeath,so_lowerhingepillarmaxcm,so_footrestcm,so_lefttoepancm,so_brakepedalcm,so_parkingbrakecm,so_rockerpanellateralaveragecm,so_steeringcolumn,so_upperhingepillarmaxcm,so_upperdashcm,so_lowerinstrumentpanelcm,so_headheadhic15,so_necknecktensionkn,so_maximumnij,so_kneethighhipinjuryrisk,so_maximumtibiaindex,so_tibiaaxialforcekn,so_footaccelerationg,mo_footwellintrusionfootrestcm,mo_brakepedalcm,mo_apillarrearwardmovementcm,mo_headheadhic15,mo_necknecktensionkn,mo_maximumnij,mo_femurkn,mo_kneedisplacementmm,mo_maximumtibiaindex,mo_tibiaaxialforcekn,mo_footaccelerationg,mo_instrpanelrearmovement,mo_footwellintrusion,sd_bpillarto,sd_headhic15,sd_necknecktensionkn,sd_compressionkn,sd_torsomaximumdeflection,sd_averagedeflectionmm,sd_maximumdeflectionratems,sd_maximumviscouscriterionms,sd_pelvisiliacforcekn,sd_acetabulumforcekn,sd_combinedforcekn,sd_leftfemurleftfemurlmforcekn,sd_lmmomentnm,sd_apmomentnm,rf_curbweight,rf_peakforce,rf_strengthtoweightratio,rolloverpossibilityAvg,rolloverpossibilityAvg,med_lengthins,med_widthins,med_heighthins,med_weightlbs,med_epa_combined,RatingsMissing_SO,RatingsMissing_SD,RatingsMissing_MO,RatingsMissing_RF,RatingsMissing_SD_By_Year_FE,RatingsMissing_SO_By_Year_FE,RatingsMissing_MO_By_Year_FE,RatingsMissing_RF_By_Year_FE,RolloverPossYearMissing,floor_iihs_overall_sd,floor_iihs_overall_mo,floor_iihs_overall_so_driver,floor_iihs_overall_rf
0,0,0,4,3,2,5,,0,1,3,3,3,151,.8,.2,0,.385,1.85,45.5,6,3,0,338,.9,.3,1.1,.5,3.45,.435,59.5,0,6,-16.5,244,.6,.1,29,25,6.25,.34,1,1.3,2,.5,150,84,3919,20314,5.18,.097,.097,196.1,74.4,57.7,4133.5,27.375,0,0,0,0,"20160","20160","20160","20160","0",4,4,4,4
0,0,0,4,3,2,5,,0,1,3,3,3,151,.8,.2,0,.385,1.85,45.5,6,3,0,338,.9,.3,1.1,.5,3.45,.435,59.5,0,6,-16.5,244,.6,.1,29,25,6.25,.34,1,1.3,2,.5,150,84,3919,20314,5.18,.097,.097,196.1,74.4,57.7,4133.5,27.8,0,0,0,0,"20170","20170","20170","20170","0",4,4,4,4
.0000271,5,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.113,.113,172.4,67.9,54.9,2734,30.15,1,1,1,1,"20051","20051","20051","20051","0",-99,-99,-99,-99
.0000261,6,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,.113,.113,172.4,67.9,54.9,2734,30.15,1,1,1,1,"20061","20061","20061","20061","0",-99,-99,-99,-99
7.46e-06,9,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,4,1,159,1,.2,1.05,.5,2.2,.46,52,.5,7,-6.5,461,.9,.4,46,41,5,.95,2.7,3.3,5,.9,103,53,-99,-99,-99,.103,.103,189.3,72.2,56.7,3482,24.5,1,0,0,1,"20050","20051","20050","20051","0",4,4,-99,-99
5.52e-06,3,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,4,1,159,1,.2,1.05,.5,2.2,.46,52,.5,7,-6.5,461,.9,.4,46,41,5,.95,2.7,3.3,5,.9,103,53,-99,-99,-99,.103,.103,189.3,72.2,56.7,3482,24.049999,1,0,0,1,"20060","20061","20060","20061","0",4,4,-99,-99
4.63e-06,1,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,4,1,159,1,.2,1.05,.5,2.2,.46,52,.5,7,-6.5,461,.9,.4,46,41,5,.95,2.7,3.3,5,.9,103,53,-99,-99,-99,.103,.103,189.3,72.2,56.7,3623,23.6,1,0,0,1,"20070","20071","20070","20071","0",4,4,-99,-99
6.30e-06,3,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,4,1,159,1,.2,1.05,.5,2.2,.46,52,.5,7,-6.5,461,.9,.4,46,41,5,.95,2.7,3.3,5,.9,103,53,-99,-99,-99,.103,.103,189.3,72.2,56.7,3623,21.6,1,0,0,1,"20080","20081","20080","20081","0",4,4,-99,-99
2.23e-06,0,2,17.5,11,2,4.5,0,3.5,2.5,12,11,10,48,.69999999,.16,1.25,.47,1.55,52.75,3,4,1,197,.8,.18,2.15,0,2.6,.495,65,0,10.66667,-13.5,245,1,0,47,41,3.96,.81,2.7,2.1,4.5,.7,122,50,-99,-99,-99,.093,.093,195.3,74,57.2,3708,21.6,0,0,0,1,"20090","20090","20090","20091","0",4,4,4,-99
2.97e-06,1,2,17.5,11,2,4.5,0,3.5,2.5,12,11,10,48,.69999999,.16,1.25,.47,1.55,52.75,3,4,1,197,.8,.18,2.15,0,2.6,.495,65,0,10.66667,-13.5,245,1,0,47,41,3.96,.81,2.7,2.1,4.5,.7,122,50,-99,-99,-99,.093,.093,195.3,74,57.2,3721,21.6,0,0,0,1,"20100","20100","20100","20101","0",4,4,4,-99
